,vin,cyclenum,date,end_time,state,odometer,min_soc,max_soc,start_voltage,end_voltage,ah_consumed,temp,month,up_y,low_y,to_be_taken
0,MB7U8CLLTKJL30555,4,2021-02-09,2021-02-09 12:47:04,21,23905.0,86.3,100.0,3.36,3.37,18.42,33.5,2-2021,28.735314656103082,8.735314656103082,True
1,MB7U8CLLTKJL30555,6,2021-02-10,2021-02-10 08:52:50,21,23974.0,80.2,100.0,3.36,3.36,24.599999999999994,31.5,2-2021,28.645852245359116,8.645852245359116,True
2,MB7U8CLLTKJL30555,9,2021-02-11,2021-02-11 08:14:18,21,24078.0,80.6,100.0,3.36,3.37,24.27000000000001,32.4,2-2021,28.511010350904446,8.511010350904446,True
3,MB7U8CLLTKJL30555,15,2021-02-12,2021-02-12 07:39:22,21,24224.0,82.2,100.0,3.36,3.36,20.130000000000003,34.8,2-2021,28.321713075996925,8.321713075996925,True
4,MB7U8CLLTKJL30555,19,2021-02-13,2021-02-13 14:16:23,21,24373.0,85.8,100.0,3.36,3.37,23.47,38.9,2-2021,28.128526131057058,8.128526131057058,True
5,MB7U8CLLTKJL30555,30,2021-02-17,2021-02-17 14:04:16,21,24765.0,86.8,100.0,3.36,3.36,22.480000000000004,41.9,2-2021,27.62027591349714,7.620275913497139,True
6,MB7U8CLLTKJL30555,43,2021-02-22,2021-02-22 07:08:06,21,25189.0,83.9,100.0,3.36,3.38,21.33,31.0,2-2021,27.070535882258866,7.070535882258866,True
8,MB7U8CLLTKJL30555,59,2021-02-27,2021-02-27 11:29:20,21,25674.0,93.8,100.0,3.36,3.37,8.4,33.3,2-2021,26.441705893696216,6.441705893696216,True
9,MB7U8CLLTKJL30555,61,2021-02-28,2021-02-28 08:40:46,21,25756.0,90.1,100.0,3.36,3.37,15.620000000000005,34.7,2-2021,26.335388246145413,6.335388246145413,True
11,MB7U8CLLTKJL30555,75,2021-03-05,2021-03-05 08:49:50,21,26156.0,89.8,100.0,3.36,3.37,15.18,32.6,3-2021,25.81676557516591,5.81676557516591,True
12,MB7U8CLLTKJL30555,78,2021-03-06,2021-03-06 07:15:30,21,26267.0,91.5,100.0,3.36,3.36,11.57,32.6,3-2021,25.672847783969097,5.672847783969097,True
13,MB7U8CLLTKJL30555,79,2021-03-06,2021-03-06 13:48:37,21,26302.0,93.3,100.0,3.36,3.36,9.470000000000002,36.0,3-2021,25.627468300258386,5.627468300258386,True
15,MB7U8CLLTKJL30555,89,2021-03-09,2021-03-09 08:48:18,21,26558.0,93.9,100.0,3.36,3.36,10.5,32.6,3-2021,25.2955497908315,5.295549790831501,True
16,MB7U8CLLTKJL30555,91,2021-03-10,2021-03-10 06:25:28,21,26668.0,93.8,100.0,3.36,3.37,11.219999999999999,35.2,3-2021,25.15292855631214,5.1529285563121405,True
17,MB7U8CLLTKJL30555,95,2021-03-11,2021-03-11 08:42:30,21,26771.0,85.0,100.0,3.36,3.36,19.53,38.7,3-2021,25.01938321853492,5.019383218534919,True
18,MB7U8CLLTKJL30555,97,2021-03-12,2021-03-12 07:56:24,21,26874.0,84.7,100.0,3.36,3.36,21.29,38.2,3-2021,24.88583788075769,4.885837880757691,True
20,MB7U8CLLTKJL30555,101,2021-03-13,2021-03-13 13:10:09,21,27009.0,90.1,100.0,3.36,3.37,12.989999999999998,37.4,3-2021,24.71080272930211,4.7108027293021095,True
21,MB7U8CLLTKJL30555,108,2021-07-01,2021-07-01 11:16:59,21,34161.0,91.5,100.0,3.36,3.36,11.509999999999998,35.2,7-2021,15.437829372188531,-4.562170627811469,True
22,MB7U8CLLTKJL30555,110,2021-03-15,2021-03-15 08:54:17,21,27219.0,86.0,100.0,3.36,3.36,23.189999999999998,41.6,3-2021,24.43852582703787,4.438525827037871,True
23,MB7U8CLLTKJL30555,112,2021-03-15,2021-03-15 14:56:50,21,27264.0,88.9,100.0,3.36,3.37,15.709999999999997,41.7,3-2021,24.380180776552677,4.3801807765526775,True
24,MB7U8CLLTKJL30555,128,2021-03-19,2021-03-19 23:46:57,21,27730.0,88.0,100.0,3.36,3.37,15.500000000000004,39.1,3-2021,23.775985364861548,3.7759853648615476,True
26,MB7U8CLLTKJL30555,143,2021-03-25,2021-03-25 06:03:31,21,28138.0,93.1,100.0,3.36,3.36,9.39,33.6,3-2021,23.246990240462452,3.246990240462452,True
27,MB7U8CLLTKJL30555,148,2021-03-26,2021-03-26 06:21:32,21,28298.0,95.0,100.0,3.36,3.36,8.329999999999998,40.5,3-2021,23.03954117207065,3.039541172070649,True
28,MB7U8CLLTKJL30555,155,2021-03-28,2021-03-28 07:12:53,21,28468.0,93.8,100.0,3.36,3.36,11.25,36.3,3-2021,22.819126536904363,2.8191265369043634,True
29,MB7U8CLLTKJL30555,159,2021-03-30,2021-03-30 08:19:19,21,28553.0,93.5,100.0,3.36,3.37,8.440000000000001,30.3,3-2021,22.708919219321217,2.708919219321217,True
30,MB7U8CLLTKJL30555,165,2021-04-01,2021-04-01 07:53:15,21,28727.0,90.2,100.0,3.36,3.37,9.740000000000002,33.3,4-2021,22.48331835744513,2.4833183574451283,True
31,MB7U8CLLTKJL30555,170,2021-04-02,2021-04-02 07:02:00,21,28878.0,95.0,100.0,3.36,3.36,8.680000000000007,36.0,4-2021,22.287538299150363,2.2875382991503628,True
32,MB7U8CLLTKJL30555,172,2021-04-03,2021-04-03 08:16:21,21,28933.0,93.3,100.0,3.36,3.36,8.670000000000002,33.0,4-2021,22.216227681890686,2.216227681890686,True
33,MB7U8CLLTKJL30555,178,2021-04-05,2021-04-05 06:57:05,21,29123.0,94.6,100.0,3.36,3.37,6.41,30.4,4-2021,21.96988191317542,1.9698819131754206,True
34,MB7U8CLLTKJL30555,200,2021-04-11,2021-04-11 01:26:50,21,29728.0,89.6,100.0,3.36,3.36,15.859999999999992,42.0,4-2021,21.185465123318913,1.185465123318913,True
35,MB7U8CLLTKJL30555,209,2021-04-14,2021-04-14 09:35:35,21,30008.0,90.1,100.0,3.36,3.37,19.07,41.7,4-2021,20.82242925363326,0.8224292536332598,True
36,MB7U8CLLTKJL30555,210,2021-04-14,2021-04-14 13:33:36,21,30022.0,92.8,100.0,3.36,3.36,9.13,37.7,4-2021,20.80427746014898,0.804277460148981,True
38,MB7U8CLLTKJL30555,245,2021-04-28,2021-04-28 12:32:23,21,30972.0,100.0,100.0,3.36,3.36,0.0,34.5,4-2021,19.572548616572647,-0.42745138342735345,True
39,MB7U8CLLTKJL30555,256,2021-05-04,2021-05-04 05:59:59,21,31240.0,84.3,100.0,3.36,3.36,17.980000000000004,39.3,5-2021,19.22507142701638,-0.7749285729836188,True
40,MB7U8CLLTKJL30555,605,2020-12-10,2020-12-10 14:55:33,21,19569.0,82.1,100.0,3.36,3.36,24.27,36.7,12-2020,34.35718440952093,14.357184409520933,True
41,MB7U8CLLTKJL30555,606,2020-12-11,2020-12-11 08:41:09,21,19628.0,78.1,100.0,3.36,3.36,29.519999999999996,32.8,12-2020,34.28068756555145,14.280687565551453,True
42,MB7U8CLLTKJL30555,608,2020-12-12,2020-12-12 08:54:59,21,19663.0,85.4,100.0,3.36,3.36,17.619999999999997,28.8,12-2020,34.23530808184075,14.23530808184075,True
43,MB7U8CLLTKJL30555,619,2020-12-16,2020-12-16 12:39:28,21,19961.0,84.8,100.0,3.36,3.36,20.68,36.5,12-2020,33.848934191961014,13.848934191961014,True
